"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"VALUE";
"12V/ON";"1";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"C1";"22pF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C2";"560pF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C3";"560pF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C4";"22pF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C5";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C6";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C7";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"C8";"0.1uF";"CAPKIT";"CAP-PTH-SMALL-KIT";"Capacitor";"";"";"";
"CAN_CONT";"";"MCP2515P";"DIL18";"MC2515";"";"";"";
"D1";"PESD1CAN";"PESD1CAN";"SOT23-3";"CAN bus ESD protection diode";"DIO-12501";"";"";
"GND/TRIM/5V";"1";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J2";"";"CONN_04SCREW";"SCREWTERMINAL-3.5MM-4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"2xCONN-08399";"2xPRT-08084";"";
"J3";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"JUMP";"2";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"R1";"100";"100OHM-HORIZ_KIT-1/4W-1%";"AXIAL-0.3EZ";"100Ω resistor";"RES-12181";"";"100";
"R2";"100";"100OHM-HORIZ_KIT-1/4W-1%";"AXIAL-0.3EZ";"100Ω resistor";"RES-12181";"";"100";
"R3";"120";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Resistor";"";"";"";
"R4";"1472ohms";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";
"U$1";"RPI-ZERO";"RPI-ZERO";"RASP_PI_ZERO_BOARD_FULL";"";"";"";"";
"U1";"MCP2562DIL08_2";"MCP2562DIL08_2";"DIL08";"";"";"";"";
"Y1";"16MHz";"CRYSTAL-16MHZPTH-HC49US";"HC49US";"16MHz Crystal";"XTAL-08181";"COM-00536";"16MHz";
